drug,heldout_lineage,model,N,N_S,N_R,AUC,acc,best_C,train_N,train_N_S,train_N_R,feasible,min_class_count
PYRAZINAMIDE,1,logreg,651,552,99,0.8054915092958572,0.9001536098310292,0.0001,8282,6720,1562,True,50
PYRAZINAMIDE,2,logreg,1640,1327,313,0.890244636464099,0.8786585365853659,0.0001,7293,5945,1348,True,50
PYRAZINAMIDE,3,logreg,1645,1427,218,0.8379692432317751,0.9209726443768996,0.0001,7288,5845,1443,True,50
PYRAZINAMIDE,4,logreg,4851,3837,1014,0.8845046081468767,0.8977530406101835,0.0001,4082,3435,647,True,50
