drug,heldout_lineage,train_n,train_r,train_s,test_n,test_r,test_s,feasible,ambiguous_rows_total,cross_lineage_ambiguous_rows_total,ambiguous_rows_test,cross_lineage_ambiguous_rows_test,model,auc,acc,pooled_auc,ci_lo,ci_hi
amikacin,2,2484,389,2095,1221,318,903,True,0,0,0,0,lasso,0.5168881506090808,0.7395577395577395,0.5170009819570208,0.5083251560173092,0.5253183370014451
amikacin,2,2484,389,2095,1221,318,903,True,0,0,0,0,logreg,0.5168881506090808,0.737919737919738,0.5170009819570208,0.5083251560173092,0.5253183370014451
amikacin,2,2484,389,2095,1221,318,903,True,0,0,0,0,ridge,0.5168881506090808,0.7395577395577395,0.5170009819570208,0.5083251560173092,0.5253183370014451
amikacin,4,1449,399,1050,2256,308,1948,True,0,0,0,0,lasso,0.4980366143097149,0.8634751773049646,0.4980321581523734,0.4925159666313008,0.5017976373908577
amikacin,4,1449,399,1050,2256,308,1948,True,0,0,0,0,logreg,0.4980366143097149,0.137854609929078,0.4980321581523734,0.4925159666313008,0.5017976373908577
amikacin,4,1449,399,1050,2256,308,1948,True,0,0,0,0,ridge,0.4980366143097149,0.8634751773049646,0.4980321581523734,0.4925159666313008,0.5017976373908577
