drug,heldout_lineage,train_n,train_r,train_s,test_n,test_r,test_s,feasible,ambiguous_rows_total,cross_lineage_ambiguous_rows_total,ambiguous_rows_test,cross_lineage_ambiguous_rows_test,model,auc,acc,pooled_auc,ci_lo,ci_hi
ethionamide,2,1557,476,1081,596,214,382,True,1942,1409,527,279,lasso,0.5665582032587952,0.6677852348993288,0.5664519214121018,0.5367965914135447,0.5966385299675846
ethionamide,2,1557,476,1081,596,214,382,True,1942,1409,527,279,logreg,0.5560869990703137,0.6828859060402684,0.5556209518256909,0.5047473664961836,0.6063944206577822
ethionamide,2,1557,476,1081,596,214,382,True,1942,1409,527,279,ridge,0.5076882614865196,0.6778523489932886,0.5075022855237389,0.455432045804529,0.5593057363584698
ethionamide,4,718,234,484,1435,456,979,True,1942,1409,1307,1043,lasso,0.6502002580506424,0.7017421602787457,0.650547980413547,0.6242582950626117,0.6776867307343595
ethionamide,4,718,234,484,1435,456,979,True,1942,1409,1307,1043,logreg,0.669661577334552,0.778397212543554,0.6698773465852778,0.6388930297533154,0.7011294312547675
ethionamide,4,718,234,484,1435,456,979,True,1942,1409,1307,1043,ridge,0.6512261885561708,0.7261324041811846,0.651327294775979,0.6197679991084157,0.6822710076548988
