drug,mode,in_dim,heldout_lineage,train_n,train_r,train_s,test_n,test_r,test_s,feasible,train_n_dataset,test_n_dataset,auc,last_val_auc,last_val_acc
streptomycin,full,320,1,7024,2351,4673,658,65,593,True,7024,658,0.738163185886626,0.738163185886626,0.8617021276595744
streptomycin,full,320,2,5716,1357,4359,1966,1059,907,True,5716,1966,0.8658659487169879,0.8658659487169879,0.8158697863682605
streptomycin,full,320,3,7167,2334,4833,515,82,433,True,7167,515,0.8468850335154621,0.8468850335154621,0.8796116504854369
streptomycin,full,320,4,3257,1226,2031,4425,1190,3235,True,3257,4425,0.7211682880261843,0.7211682880261843,0.8038418079096045
