drug,heldout_lineage,train_n,train_r,train_s,test_n,test_r,test_s,feasible,auc,acc,sens,spec,pooled_boot_auc_mean,ci_lo,ci_hi
rifampicin,1,15956,4703,11253,1625,166,1459,True,0.953021131819946,0.974153846153846,0.8734939759036144,0.9856065798492116,0.9530960085015766,0.9278077002210714,0.9752145275212952
rifampicin,2,14072,3040,11032,3509,1829,1680,True,0.9630174568460518,0.9521231119977202,0.9589939857845816,0.9446428571428572,0.962970226388534,0.9556705550913984,0.9697503473795712
rifampicin,3,14788,4402,10386,2793,467,2326,True,0.967797691490478,0.9820981023988544,0.9079229122055674,0.9969905417024936,0.9677232314954454,0.9556639359825834,0.9787601585155798
rifampicin,4,8178,2496,5682,9403,2373,7030,True,0.9606177006735928,0.96660640221206,0.9034976822587442,0.987908961593172,0.9606073791816818,0.9553365309329792,0.9659192899970824
