architecture,mean_delta_p10,mean_delta_r10,p_precision10,p_recall10,n_drugs,p_precision10_holm,p_recall10_holm
cnn,0.015625000000000003,0.03275,0.46183801815063774,0.3828125,8,0.9236760363012755,0.7465916248137662
esm_full320,0.096875,0.16549999999999998,0.046399461870904594,0.027707849358079864,8,0.18559784748361838,0.11083139743231946
regression,0.028125,0.0275,0.463071015014588,0.3454475304692257,8,0.9236760363012755,0.7465916248137662
transformer,0.06875,0.0315,0.07414989773822228,0.24886387493792206,8,0.22244969321466684,0.7465916248137662
