,LogReg,CNN,Transformer,ESM-320
rifampicin,-0.0012452230442087098,-0.00030876875176710783,0.17253642345952802,-0.0060532273690319105
isoniazid,-0.009864518427869062,-0.01212197775512558,-0.23249972875653702,-0.009174325421726914
ethambutol,-0.020006891345190958,-0.024364044631629778,-0.006604268015887205,0.07239580298543158
pyrazinamide,-0.08675254902401164,-0.028426349432138953,-0.06759839114733368,-0.07710545563124194
streptomycin,-0.08795601018495958,-0.043708876346735925,-0.08952556761127695,-0.06493218037074555
moxifloxacin,-0.009169838037978106,-0.012795835614359374,-0.006028600055203115,-0.017425419074659998
ethionamide,-0.11499087477921621,-0.03604968271251052,0.11808606270995081,-0.132736693827732
amikacin,-0.0005163409448575296,-0.015484788871886146,-0.003788349977750183,-0.011550544438875932
capreomycin,-0.005252737013743292,-4.473459633391741e-05,0.011177030691514322,-0.01971095314145349
