drug,mode,in_dim,heldout_lineage,train_n,train_r,train_s,test_n,test_r,test_s,feasible,train_n_dataset,test_n_dataset,auc,last_val_auc,last_val_acc
pyrazinamide,full,320,1,11920,2046,9874,983,85,898,True,11920,983,0.7848683348617844,0.7848683348617844,0.9471007121057986
pyrazinamide,full,320,2,10511,1404,9107,2392,727,1665,True,10511,2392,0.7417413286739285,0.7417413286739285,0.7930602006688964
pyrazinamide,full,320,3,10486,1971,8515,2417,160,2257,True,10486,2417,0.7903010079751883,0.7903010079751883,0.9520066197765824
pyrazinamide,full,320,4,6014,1074,4940,6889,1057,5832,True,6014,6889,0.7778264441251932,0.7778264441251932,0.9049208883727682
