drug,heldout_lineage,N,N_S,N_R,AUC,spec,sens,threshold,train_N,train_N_S,train_N_R,feasible,min_class_count
ISONIAZID,1,1535,1113,422,0.9038708839522576,0.9829290206648698,0.8222748815165877,0.74,15398,10267,5131,True,50
ISONIAZID,2,3341,2007,1334,0.9423421697223138,0.9810662680617838,0.8920539730134932,0.74,13592,9373,4219,True,50
ISONIAZID,3,2723,2091,632,0.9178656720483808,0.9899569583931134,0.8338607594936709,0.72,14210,9289,4921,True,50
ISONIAZID,4,9087,5978,3109,0.913427474665604,0.9774171963867514,0.8269540045030557,0.8,7846,5402,2444,True,50
