drug,heldout_lineage,train_n,train_r,train_s,test_n,test_r,test_s,feasible,auc,acc,sens,spec,pooled_boot_auc_mean,ci_lo,ci_hi
pyrazinamide,1,11920,2046,9874,983,85,898,True,0.7903838595571859,0.9460834181078333,0.5529411764705883,0.9832962138084632,0.7900504304441706,0.732215294891901,0.8447255931074089
pyrazinamide,2,10511,1404,9107,2392,727,1665,True,0.7751114250426494,0.8248327759197325,0.5612104539202201,0.93993993993994,0.7752763070052707,0.7521880084198613,0.7972177301043595
pyrazinamide,3,10486,1971,8515,2417,160,2257,True,0.7880538325210457,0.9553165080678528,0.425,0.9929109437306158,0.7884421624543313,0.7479736532009006,0.8291954989081086
pyrazinamide,4,6014,1074,4940,6889,1057,5832,True,0.8134138728938827,0.8989693714617506,0.3841059602649007,0.992283950617284,0.813583703288184,0.7945275492869708,0.8313803781940158
