drug,heldout_lineage,train_n,train_r,train_s,test_n,test_r,test_s,feasible,auc,acc,sens,spec,pooled_boot_auc_mean,ci_lo,ci_hi
streptomycin,1,7024,2351,4673,658,65,593,True,0.4431184330003891,0.9012158054711246,0.0,1.0,0.4434017062348453,0.3585096025281436,0.5288357058107902
streptomycin,2,5716,1357,4359,1966,1059,907,True,0.8585266414926189,0.5386571719226857,1.0,0.0,0.8584146674866965,0.842514162264759,0.8739244295995051
streptomycin,3,7167,2334,4833,515,82,433,True,0.7086689573593195,0.1592233009708737,1.0,0.0,0.7085146759226995,0.6330805564499952,0.7807338081058002
streptomycin,4,3257,1226,2031,4425,1190,3235,True,0.5437707324042445,0.7317514124293786,0.0033613445378151,0.9996908809891808,0.5438063165940505,0.5202673104912087,0.5662904893863618
